Date,User,Impact_Score,Leaderboard_Rank,Smoothed_Leaderboard_Rank
04-01-2024,YOU,171.1160233,4,4
08-01-2024,Alice,184.413695,1,1
20-01-2024,Bob,97.70052125,45,45
22-01-2024,Charlie,66.50778868,63,63
23-01-2024,Eve,84.19027438,53,53
27-01-2024,YOU,114.0661683,36,20
28-01-2024,Alice,172.7022149,4,2
29-01-2024,Bob,179.1095875,1,23
04-02-2024,Charlie,51.04281958,71,67
07-02-2024,Eve,126.6120954,29,41
11-02-2024,YOU,112.6116505,37,26
16-02-2024,Alice,83.31617157,53,19
17-02-2024,Bob,67.9798051,62,36
21-02-2024,Charlie,100.6422757,44,59
23-02-2024,Eve,191.4364556,1,28
24-02-2024,YOU,98.4804398,45,30
24-02-2024,Alice,127.8185933,28,22
28-02-2024,Bob,155.4528438,13,30
06-03-2024,Charlie,104.5444404,41,55
08-03-2024,Eve,195.7673124,1,21
20-03-2024,YOU,194.3670942,1,25
22-03-2024,Alice,87.76734437,51,27
23-03-2024,Bob,124.5872759,30,30
25-03-2024,Charlie,95.13174647,47,53
31-03-2024,Eve,92.72607416,48,26
07-04-2024,YOU,55.5330421,69,38
17-04-2024,Alice,141.4346501,21,31
17-04-2024,Bob,125.4018535,30,27
24-04-2024,Charlie,57.72181269,67,54
25-04-2024,Eve,91.79696964,49,26
27-04-2024,YOU,186.2398829,1,31
29-04-2024,Alice,85.9342836,52,41
03-05-2024,Bob,71.73423081,60,39
05-05-2024,Charlie,123.417914,31,46
07-05-2024,Eve,197.8475681,1,20
14-05-2024,YOU,86.30829073,52,34
14-05-2024,Alice,150.8203321,16,34
14-05-2024,Bob,164.2429423,8,28
15-05-2024,Charlie,85.6456316,52,48
22-05-2024,Eve,159.2324523,11,22
30-05-2024,YOU,105.1674699,41,33
31-05-2024,Alice,144.8458746,19,32
08-06-2024,Bob,145.0294566,19,29
09-06-2024,Charlie,130.3662026,27,45
10-06-2024,Eve,63.54346551,64,35
18-06-2024,YOU,175.2953743,2,33
19-06-2024,Alice,98.11700975,45,31
21-06-2024,Bob,77.97777656,56,35
23-06-2024,Charlie,56.11627123,68,49
25-06-2024,Eve,138.6339415,22,29
30-06-2024,YOU,151.6346543,15,22
04-07-2024,Alice,52.48817434,70,40
04-07-2024,Bob,126.8139587,29,34
08-07-2024,Charlie,83.97436628,53,46
08-07-2024,Eve,146.7759186,18,23
16-07-2024,YOU,76.15496435,57,33
23-07-2024,Alice,153.6406607,14,33
24-07-2024,Bob,108.0103019,39,30
25-07-2024,Charlie,190.5094983,1,40
27-07-2024,Eve,70.62814162,60,35
02-08-2024,YOU,101.1599527,43,32
06-08-2024,Alice,67.02102819,62,42
12-08-2024,Bob,188.7040427,1,29
20-08-2024,Charlie,181.600903,1,30
20-08-2024,Eve,88.69124416,50,43
23-08-2024,YOU,148.9976069,17,27
05-09-2024,Alice,172.58333,4,39
05-09-2024,Bob,133.2801217,25,30
05-09-2024,Charlie,129.4475868,28,30
12-09-2024,Eve,86.27784364,52,40
16-09-2024,YOU,63.96541517,64,39
17-09-2024,Alice,184.5823637,1,30
27-09-2024,Bob,185.0627086,1,19
01-10-2024,Charlie,144.9652186,19,20
03-10-2024,Eve,100.8544687,43,45
04-10-2024,YOU,102.3814362,43,45
06-10-2024,Alice,158.8933518,11,18
08-10-2024,Bob,184.566539,1,13
10-10-2024,Charlie,183.0629636,1,10
11-10-2024,Eve,166.9813319,7,42
13-10-2024,YOU,146.3047469,18,37
14-10-2024,Alice,62.62099475,65,29
17-10-2024,Bob,74.24430711,58,17
18-10-2024,Charlie,184.7831283,1,10
19-10-2024,Eve,140.9643589,21,35
26-10-2024,YOU,51.37955774,71,43
02-11-2024,Alice,65.22073143,63,29
05-11-2024,Bob,149.5252654,16,20
19-11-2024,Charlie,50.75923758,71,24
20-11-2024,Eve,74.12120771,58,36
21-11-2024,YOU,132.3100684,26,44
23-11-2024,Alice,153.7842797,14,31
